protein1	protein2	cost
C9ORF72	ACTB	0.598835
C9ORF72	ACTN4	0.598835
C9ORF72	ACTR2	0.598835
C9ORF72	ACTR3	0.598835
C9ORF72	ACTR3B	0.598835
C9ORF72	AHSA1	0.598835
C9ORF72	ARPC1A	0.598835
C9ORF72	ARPC3	0.598835
C9ORF72	ARPC4	0.598835
C9ORF72	ASZ1	0.598835
C9ORF72	ATG101	0.399483433
C9ORF72	ATG13	0.399483433
C9ORF72	ATP1A1	0.598835
C9ORF72	ATP2A2	0.598835
C9ORF72	ATP5A1	0.598835
C9ORF72	ATP5C1	0.598835
C9ORF72	ATP6V1E1	0.598835
C9ORF72	BAG3	0.598835
C9ORF72	BDH1	0.598835
C9ORF72	CAD	0.598835
C9ORF72	CCT2	0.598835
C9ORF72	CCT5	0.598835
C9ORF72	CCT6A	0.598835
C9ORF72	CCT7	0.598835
C9ORF72	CFL2	0.598835
C9ORF72	CHCHD3	0.598835
C9ORF72	CKAP4	0.598835
C9ORF72	CORO1B	0.598835
C9ORF72	CORO1C	0.598835
C9ORF72	CORO2A	0.598835
C9ORF72	COX7A2	0.598835
C9ORF72	DAPK1	0.598835
C9ORF72	DNAJA1	0.598835
C9ORF72	DNAJA2	0.598835
C9ORF72	DNAJB11	0.598835
C9ORF72	DNAJB12	0.598835
C9ORF72	EEF2	0.598835
C9ORF72	FAR1	0.598835
C9ORF72	FIP200	0.399483433
C9ORF72	FSCN1	0.598835
C9ORF72	GLIPR2	0.598835
C9ORF72	HNRNPA1	0.598835
C9ORF72	HNRNPA2B1	0.598835
C9ORF72	HNRNPF	0.598835
C9ORF72	HSP90AA1	0.598835
C9ORF72	HSP90AB1	0.598835
C9ORF72	HSPA8	0.598835
C9ORF72	IMMT	0.598835
C9ORF72	JMY	0.598835
C9ORF72	KDM1A	0.598835
C9ORF72	MAP1B	0.598835
C9ORF72	NCL	0.598835
C9ORF72	PDHA1	0.598835
C9ORF72	PDHB	0.598835
C9ORF72	PDHX	0.598835
C9ORF72	PPP1CA	0.399483433
C9ORF72	PPP1CB	0.598835
C9ORF72	PPP1R18	0.598835
C9ORF72	RAB11	0.598835
C9ORF72	RAB1A	0.598835
C9ORF72	RAB39B	0.399483433
C9ORF72	RAB7	0.598835
C9ORF72	RAB8A	0.598835
C9ORF72	RPLP0	0.598835
C9ORF72	RTN4	0.598835
C9ORF72	SDHA	0.598835
C9ORF72	SLC16A1	0.598835
C9ORF72	SLC25A12	0.598835
C9ORF72	SLC25A3	0.598835
C9ORF72	SLC25A4	0.598835
C9ORF72	SLC25A5	0.598835
C9ORF72	SMCR8	0.000780299
C9ORF72	SQSTM1	0.598835
C9ORF72	TCP1	0.598835
C9ORF72	TIMM50	0.598835
C9ORF72	TOX4	0.598835
C9ORF72	TRIM21	0.598835
C9ORF72	TWF1	0.598835
C9ORF72	TWF2	0.598835
C9ORF72	UBQLN1	0.598835
C9ORF72	UBQLN2	0.598835
C9ORF72	ULK1	0.200131866
C9ORF72	VDAC3	0.598835
C9ORF72	WDR1	0.598835
C9ORF72	WDR41	0.000780299
ZNF91	NDEL1	0.594442
ZNF91	SUMO1	0.598835
ZNF91	SUMO3	0.598835
ZNF91	CHMP5	0.530378
ZNF91	UBC	0.298244
ZNF91	HTT	0.63215
ACP5	GPC4	0.85922
ACP5	SLC35F6	0.452941
ACP5	SNRNP40	0.565996
ACP5	RPA2	0.492989
ACP5	ZBTB16	0.565996
ACP5	EGR2	0.594442
