	prize	Base_Mean	log2FC	StdErr	Wald_Stats	P_value	P_adj
ABCD1	5.51782985406388	206.70695642104099	-2.83532133489482	0.18320498906898602	15.4762233785411	5.0209609741378296e-54	1.6482177757121997e-52
TGFB1	0.7524616052842421	459.067424362752	2.18109563041519	0.11689931562510401	-18.6578990540027	1.0893055708436599e-77	5.673348624597429e-76
TAGLN2	3.1	3702.9517939137895	-2.9543438054357303	0.0562858879654518	52.4881797591805	1e-309	1e-310
UHMK1	3.1	3543.83940327986	-3.2250177211439706	0.0676721008651336	47.6565331933648	1e-309	1e-310
CSRP1	3.1	4592.5877756459295	1.85696683083255	0.046232488224367006	-40.165842292992295	1e-309	1e-310
CAPN2	3.1	10417.7153654098	2.11623330565015	0.0455640155858828	-46.44527657272221	1e-309	1e-310
RHOB	3.1	10401.1542919361	-1.75829547055461	0.0453842861321275	38.7423846534827	1e-309	1e-310
ADAM23	3.1	1237.69204414547	3.2131911892519396	0.0823303140191719	-39.0280448645404	1e-309	1e-310
STT3B	3.1	2848.0336326661604	2.5946181472137098	0.0592977441926229	-43.7557647856779	1e-309	1e-310
FSTL1	3.1	18350.2032605815	1.5765406477093202	0.03653809126208701	-43.147865508376796	1e-309	1e-310
AP2M1	3.1	5152.01040667875	2.68665618314583	0.0513382927930819	-52.332402130595796	1e-309	1e-310
EIF4G1	3.1	6597.4296959268	-2.7173814592817496	0.0440382164715537	61.7050752052374	1e-309	1e-310
ESM1	3.1	3959.19213847948	-3.22725234386904	0.0601772266731397	53.6291305247128	1e-309	1e-310
IL6ST	3.1	31188.2430996516	2.74668878148629	0.046499299860728004	-59.069465340618294	1e-309	1e-310
G3BP1	3.1	4868.81678431535	-2.40920629771015	0.0486335929752025	49.5379047757907	1e-309	1e-310
ATP6V0E1	3.1	1515.23734108457	-3.4787639674032795	0.0793085499498787	43.8636687923532	1e-309	1e-310
SQSTM1	3.1	7581.60290367374	-2.5889298652245496	0.0465346601971768	55.634442247020395	1e-309	1e-310
RNF144B	3.1	2971.4570586958303	-2.5535617077543398	0.0632265037444519	40.3875203676498	1e-309	1e-310
YWHAG	3.1	3443.41835815755	-2.20506210819398	0.0512472700959406	43.027894053007294	1e-309	1e-310
CAV1	3.1	23113.0464509735	-4.56655174140561	0.0423885165773251	107.73086935173401	1e-309	1e-310
SCARA3	3.1	3190.9481529743102	2.3113055438225096	0.0611260816370535	-37.81210052930071	1e-309	1e-310
IMPAD1	3.1	3613.9570887614204	2.69886714202075	0.0540153925525789	-49.964778824733294	1e-309	1e-310
ANKRD1	3.1	15603.569682003	-1.87381538869883	0.0403247360833242	46.4681376916368	1e-309	1e-310
SWAP70	3.1	5159.88450676733	-2.25174053839335	0.0479181112022873	46.9914293759948	1e-309	1e-310
DKK3	3.1	4896.90686829317	2.03696997923871	0.0481481195763825	-42.306324673952105	1e-309	1e-310
FZD4	3.1	6154.279514139879	-2.31360936541404	0.0433952430815852	53.314815199083796	1e-309	1e-310
ENDOD1	3.1	3553.6151453767297	2.11117591930078	0.0510963409908519	-41.317555785036795	1e-309	1e-310
MGP	3.1	3291.12579303662	2.60998545901458	0.0591521584946427	-44.123249690895996	1e-309	1e-310
PXN	3.1	2432.40513811453	-2.5071517515950803	0.0591423328315927	42.3918305477428	1e-309	1e-310
WARS	3.1	5781.361320788559	-2.63262458161785	0.0557731871005756	47.2023335670319	1e-309	1e-310
