,degree_term,degree_steiner,degree_combined,median_term,median_steiner,median_combine,num_terminal,num_steiner,num_combined,degree_steiner_term_diff,coherency
forest\w_1_b_1_g_100000,110.2081784386617,33.71531130090358,36.18016291327264,49.0,14.0,14.0,269.0,8079.0,400.0,76.49286713775813,0.033296200024755536
forest\w_3_b_2_g_100000,107.25270758122744,31.09960541751093,33.28464885021753,47.0,13.0,14.0,277.0,9377.0,400.0,76.15310216371651,0.0295403647221926
forest\w_3_b_3_g_100000,106.65591397849462,30.59316025440517,32.743262411347516,47.0,13.0,13.0,279.0,9591.0,400.0,76.06275372408945,0.029089771660932125
forest\w_1_b_1_g_60000,109.19852941176471,33.536166149439005,35.91537572254335,48.0,15.0,15.0,272.0,8378.0,400.0,75.6623632623257,0.03246598233468608
forest\w_3_b_3_g_60000,106.49642857142857,31.591954022988507,33.7992001683856,47.0,14.0,14.0,280.0,9222.0,400.0,74.90447454844006,0.030362177401865104
forest\w_3_b_2_g_60000,106.87096774193549,32.22812673707615,34.473689885701965,47.0,14.0,14.0,279.0,8995.0,400.0,74.64284100485933,0.031017231795441913
forest\w_1_b_3_g_60000,106.12099644128114,31.568912710566615,33.792104425342245,47.0,14.0,14.0,281.0,9142.0,400.0,74.55208373071451,0.03073725661780792
forest\w_1_b_2_g_100000,106.4910394265233,31.947229853479854,34.25424292845258,47.0,13.0,14.0,279.0,8736.0,400.0,74.54380957304345,0.031936813186813184
forest\w_1_b_3_g_100000,105.90747330960853,31.6214422319721,33.89781897491821,46.0,13.0,14.0,281.0,8889.0,400.0,74.28603107763644,0.03161210484868939
forest\w_1_b_2_g_60000,106.12099644128114,31.999108734402853,34.24910878254294,47.0,14.0,14.0,281.0,8976.0,400.0,74.12188770687828,0.031305704099821745
forest\w_1_b_1_g_25000,109.34926470588235,36.45035783994795,38.942314942817646,48.0,17.0,18.0,272.0,7685.0,400.0,72.8989068659344,0.03539362394274561
forest\w_1_b_3_g_25000,105.91489361702128,34.131245517571124,36.47201665124884,47.0,16.0,16.0,282.0,8366.0,400.0,71.78364809945015,0.033707865168539325
