,degree_term,degree_steiner,degree_combined,median_term,median_steiner,median_combine,num_terminal,num_steiner,num_combined,degree_steiner_term_diff,coherency
forest\w_0.75_b_0.75_g_100000,73.5575221238938,24.238095238095237,67.52427184466019,21.0,16.0,19.0,452.0,63.0,300.0,49.31942688579856,7.174603174603175
forest\w_0.5_b_0.25_g_25000,78.66,29.5,76.76923076923077,32.0,16.0,29.0,100.0,4.0,300.0,49.16,25.0
forest\w_1.25_b_0.25_g_25000,77.5,29.5,70.11538461538461,52.0,16.0,50.0,22.0,4.0,300.0,48.0,5.5
forest\w_0.5_b_0.5_g_100000,69.92364990689013,22.4,69.48523985239852,22.0,19.0,22.0,537.0,5.0,300.0,47.523649906890135,107.4
forest\w_1_b_0.25_g_25000,74.17391304347827,29.5,67.55555555555556,51.0,16.0,49.0,23.0,4.0,300.0,44.673913043478265,5.75
forest\w_0.5_b_0.5_g_25000,70.96739130434783,26.5,68.41598360655738,22.0,21.0,22.0,460.0,28.0,300.0,44.46739130434783,16.428571428571427
forest\w_0.5_b_0.25_g_2500,127.68159203980099,84.38297872340425,119.4758064516129,52.0,68.0,55.0,201.0,47.0,300.0,43.29861331639674,4.276595744680851
forest\w_0.25_b_0.5_g_25000,63.105740181268885,20.0,63.040723981900456,20.0,20.0,20.0,662.0,1.0,300.0,43.105740181268885,662.0
forest\w_0.25_b_2_g_25000,62.8188622754491,20.0,62.75485799701046,20.0,20.0,20.0,668.0,1.0,300.0,42.8188622754491,668.0
forest\w_0.25_b_0.75_g_25000,62.8188622754491,20.0,62.75485799701046,20.0,20.0,20.0,668.0,1.0,300.0,42.8188622754491,668.0
forest\w_0.25_b_1.5_g_25000,62.8188622754491,20.0,62.75485799701046,20.0,20.0,20.0,668.0,1.0,300.0,42.8188622754491,668.0
forest\w_0.25_b_1_g_25000,62.8188622754491,20.0,62.75485799701046,20.0,20.0,20.0,668.0,1.0,300.0,42.8188622754491,668.0
forest\w_0.75_b_1_g_100000,66.59342560553634,25.145631067961165,60.32452276064611,20.0,15.0,18.0,578.0,103.0,300.0,41.44779453757518,5.611650485436893
forest\w_0.75_b_0.5_g_100000,59.93981481481482,18.714285714285715,55.209016393442624,24.5,13.0,22.0,216.0,28.0,300.0,41.2255291005291,7.714285714285714
forest\w_0.5_b_1_g_100000,62.990950226244344,25.333333333333332,62.486607142857146,20.0,19.0,20.0,663.0,9.0,300.0,37.65761689291101,73.66666666666667
forest\w_1.5_b_0.25_g_25000,66.05882352941177,28.5,58.904761904761905,41.0,21.0,38.5,34.0,8.0,300.0,37.55882352941177,4.25
forest\w_0.5_b_2_g_100000,62.8188622754491,25.333333333333332,62.3205317577548,20.0,19.0,20.0,668.0,9.0,300.0,37.485528942115764,74.22222222222223
forest\w_0.5_b_1.5_g_100000,62.8188622754491,25.333333333333332,62.3205317577548,20.0,19.0,20.0,668.0,9.0,300.0,37.485528942115764,74.22222222222223
forest\w_1_b_1_g_100000,71.32272727272728,35.2896174863388,60.73836276083467,21.5,17.0,19.0,440.0,183.0,300.0,36.03310978638848,2.4043715846994536
