ARF5	extracellular	['Extracellular region', 'Vesicle', 'Organelle', 'membrane-bounded organelle', 'Extracellular organelle', 'Extracellular region part', 'Extracellular exosome', 'Extracellular vesicle']
M6PR	golgi	['Golgi membrane', 'Cytoplasm', 'Golgi apparatus', 'trans-Golgi network', 'Plasma membrane', 'Plasma membrane', 'Integral component of plasma membrane', 'Endomembrane system', 'Vesicle membrane', 'Membrane']
ESRRA	nucleolus	['Fibrillar center', 'Extracellular region', 'Nucleus', 'Nucleus', 'Nucleus', 'Nucleoplasm', 'Nucleolus', 'Cytoskeleton', 'Microtubule cytoskeleton', 'membrane-enclosed lumen']
FKBP4	extracellular	['Extracellular region', 'Vesicle', 'Organelle', 'membrane-bounded organelle', 'Extracellular organelle', 'Extracellular region part', 'Extracellular exosome', 'Extracellular vesicle']
CYP26B1	ER	['Cytoplasm', 'Endoplasmic reticulum', 'Endoplasmic reticulum membrane', 'Endomembrane system', 'Membrane', 'Nuclear outer membrane-endoplasmic reticulum membrane network', 'Organelle', 'membrane-bounded organelle', 'Intracellular organelle', 'Intracellular membrane-bounded organelle']
NDUFAF7	mitochondria	['Extracellular region', 'Extracellular space', 'Cytoplasm', 'Mitochondrion', 'Organelle', 'membrane-bounded organelle', 'Intracellular organelle', 'Intracellular membrane-bounded organelle', 'Extracellular region part', 'Intracellular part']
FUCA2	lysosome	['Lytic vacuole', 'Extracellular region', 'Cytoplasm', 'Lysosome', 'Primary lysosome', 'Vacuole', 'Vacuolar lumen', 'Endoplasmic reticulum', 'Endoplasmic reticulum lumen', 'Endomembrane system']
HS3ST1	golgi	['Cytoplasm', 'Golgi apparatus', 'Golgi lumen', 'Endomembrane system', 'Membrane', 'Integral component of membrane', 'Intrinsic component of membrane', 'membrane-enclosed lumen', 'Organelle', 'membrane-bounded organelle']
SEMA3F	extracellular	['Extracellular region', 'Extracellular space', 'Extracellular region part']
CFTR	lysosome	['Lytic vacuole', 'Cytoplasm', 'Lysosome', 'Lysosomal membrane', 'Endosome', 'Vacuole', 'Vacuolar membrane', 'Golgi apparatus', 'Golgi-associated vesicle', 'Endosome membrane']
CYP51A1	ER	['Cytoplasm', 'Cytoplasm', 'Endoplasmic reticulum', 'Endoplasmic reticulum', 'Endoplasmic reticulum membrane', 'Endomembrane system', 'Endomembrane system', 'Membrane', 'Nuclear outer membrane-endoplasmic reticulum membrane network', 'Organelle']
USP28	nucleus	['Nucleus', 'Nucleoplasm', 'Nuclear body', 'membrane-enclosed lumen', 'Nuclear lumen', 'Organelle', 'membrane-bounded organelle', 'Intracellular organelle', 'Intracellular membrane-bounded organelle', 'Organelle lumen']
